zip,new_tenure,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall,P1,P2,Rank1,N1,N2,Rank2,Symbol,city,state
22309,501.7109,449.6369,21.76229,33837,49.19,36,45.37,88,11769,447138,1973,62.39,111235,92757,99,0.848816,0.650273,4,0.051657,0.043219,0.067352,VA,Alexandria,Virginia
22310,390.2891,418.8438,19.18,29890,48.61,38,61.8,75,11434,425301,1975,74.68,129534,109498,123,0.559199,0.240437,3,0.040185,0.040259,0.056883,VA,Alexandria,Virginia
22311,518.3333,487.5556,17.20889,18107,49.42,35,44.69,61,8415,488393,1972,17.6,90563,75419,119,0.861566,0.872495,5,0.053369,0.046864,0.071024,VA,Alexandria,Virginia
22312,387.3,439.8,16.29,31585,49.18,36,42.82,80,11726,415527,1971,50.95,99181,80277,104,0.54827,0.535519,4,0.039877,0.042273,0.058114,VA,Alexandria,Virginia
22314,183.2,403.6,21.977,29324,48.02,40,72.95,92,15842,669110,1971,45.6,140951,112675,162,0.052823,0.123862,1,0.018863,0.038794,0.043136,VA,Alexandria,Virginia
22315,411.6929,421.9571,18.09286,27399,47.04,38,61.69,70,11055,437305,1988,71.2,135960,112053,130,0.644809,0.284153,3,0.042389,0.040558,0.058667,VA,Alexandria,Virginia
22350,223,357,19.04,2181,51.6,30,45.25,81,944,299543,1991,4.68,80807,69460,109,0.107468,0.051002,1,0.022961,0.034315,0.041288,VA,Alexandria,Virginia
22401,329.8115,396.4426,40.43672,24611,46,32,63.16,118,9820,348235,1968,38.45,73813,49403,95,0.302368,0.107468,3,0.033958,0.038106,0.051041,VA,Fredericksburg,Virginia
22405,437.406,413.4823,38.57106,30446,49.82,39,79.65,90,10652,305694,1985,79.82,102965,93434,107,0.730419,0.1949,3,0.045036,0.039744,0.060065,VA,Fredericksburg,Virginia
22406,435.766,421.564,36.08541,22545,50.51,36,69.33,76,7399,364696,1994,68.1,103348,93134,97,0.724954,0.28051,3,0.044868,0.04052,0.060457,VA,Fredericksburg,Virginia
22407,339.6881,426.7119,43.31712,59386,47.86,36,68.57,43,20255,310444,1989,70.45,97056,85632,99,0.344262,0.342441,3,0.034975,0.041015,0.053903,VA,Fredericksburg,Virginia
